regime_1,regime_2,regime_3,regime_4,regime_5,regime_6
6.204702062284265e-17,0.9999000812737525,8.118272558844858e-12,7.83639654265462e-5,1.0409714267469254e-10,2.155464863933868e-5
1.1802668627141136e-16,0.9998845516343741,1.3719746902752797e-11,8.861962561755432e-5,1.8250484135821572e-10,2.6828543826890836e-5
1.0216314029656624e-16,0.999887660549773,1.2208731222787766e-11,8.668636917648579e-5,1.6091982989440366e-10,2.565290794330871e-5
8.332465811922231e-17,0.9998923360339254,1.0351934164856377e-11,8.362478831465979e-5,1.3495679611607368e-10,2.4039032444382475e-5
6.062613288739599e-17,0.9998994718783638,7.995567829488159e-12,7.885008276668415e-5,1.0224471439523643e-10,2.1677928642446465e-5
8.593971623234331e-17,0.9998909764472452,1.0632619064424816e-11,8.459222868829384e-5,1.3873954190655075e-10,2.4431174744921824e-5
8.677747763068094e-17,0.9998903060749192,1.0725587129411609e-11,8.51171263342921e-5,1.4005850950285813e-10,2.457664791635102e-5
4.472051027311707e-17,0.9999052182770257,6.252597310085776e-12,7.504389967606358e-5,7.835050038762808e-11,1.9737738681703635e-5
1.0839117293073383e-16,0.9998841574570256,1.2873126598605724e-11,8.92378397751127e-5,1.7018973658401806e-10,2.6604520111340957e-5
8.235474610451628e-17,0.999890629507756,1.0298045244255299e-11,8.504624102413557e-5,1.3392309106785507e-10,2.4324107016904222e-5
1.1100331475454175e-16,0.9998827744462713,1.3141772761933323e-11,9.028931616220708e-5,1.7395661230362894e-10,2.6936050506624e-5
6.134030613635989e-17,0.9998971346542609,8.110409350794406e-12,8.07322874141433e-5,1.0365350316579213e-10,2.2132946561192662e-5
7.729081484507171e-17,0.9998915643079694,9.79479551998258e-12,8.447767988360665e-5,1.2674395370492892e-10,2.3957875576739185e-5
5.556299072022609e-17,0.9998990412418833,7.490119675976303e-12,7.946601108489136e-5,9.512392749841373e-11,2.149264446225854e-5
9.285859841911427e-17,0.999886525707997,1.1386873586356181e-11,8.790816387348637e-5,1.4902645141401972e-10,2.5565967677865643e-5
5.813557941008235e-14,0.9944775846328148,4.830945680538725e-9,0.0032866721002347875,7.133273896682224e-8,0.0022356671031900223
1.6905321755517874e-16,0.9998117906902676,1.856827410105718e-11,1.5644631969042328e-4,2.515246101705259e-10,3.1762719908430854e-5
1.372388193641198e-8,0.998978937286642,2.231205076735749e-4,0.009560948890076847,0.004099739945073187,5.637502535543047e-4
3.523133778100682e-17,0.9902995029766967,5.6580470358461465e-12,0.009219695347148537,3.1422148215042335e-10,4.8080135626164886e-4
1.1628467178935718e-16,0.9997424049933324,1.3785453336795075e-11,2.3002338901731894e-4,1.832047168008052e-10,2.7571420641810735e-5
1.0419492749777757e-16,0.9998803079055048,1.253985081717382e-11,9.29010198383925e-5,1.6510279854132863e-10,2.6790897064432888e-5
1.2716383098684023e-10,0.9997274161808408,2.8657271113384017e-6,2.6436757539029964e-4,3.2862242080332917e-5,8.216243113416347e-6
6.19262816453879e-17,0.9996303453943534,8.213406291171883e-12,3.3996180394058013e-4,1.0539124124468006e-10,2.9692688087107877e-5
6.477581627820358e-17,0.9998904257747717,8.52224673361392e-12,8.663854517326479e-5,1.090892077069564e-10,2.2935562447069015e-5
5.707678345269104e-17,0.9998966412454362,7.687929597201527e-12,8.134484959110795e-5,9.76538519615477e-11,2.2013799614109756e-5
7.33839484397629e-17,0.9998905763368134,9.437009199827212e-12,8.54522013599858e-5,1.2159870481110917e-10,2.3971330840718307e-5
1.1149378180914882e-16,0.9998795176326318,1.3273647346373312e-11,9.288050229784994e-5,1.753970123676636e-10,2.7601676374789902e-5
5.906189367633494e-11,0.9997557629849863,1.54500331149809e-6,2.377863548430796e-4,1.873587913685242e-5,6.4506597138293314e-6
7.47119761343428e-17,0.9996522945535042,9.587259455797682e-12,3.1789736775558774e-4,1.24044435950694e-10,2.9807945071477234e-5
3.4516107031532986e-12,0.9998653405280286,1.4875401341730312e-7,0.008613442412117044,2.422104035044516e-6,1.6371985364027946e-6
4.8216352564904216e-17,0.9997778657008616,6.716471542281543e-12,1.997999613332744e-4,8.437420096017424e-11,2.2334246659645894e-5
5.550850385686963e-17,0.9998950068555128,7.53066377665207e-12,8.30327600404626e-5,9.540327265909028e-11,2.1960281494992283e-5
1.732638022376336e-16,0.9998660159413066,1.9037606822659118e-11,1.0181477659934505e-4,2.5787098179686245e-10,3.216900515698674e-5
1.196011650346778e-16,0.9998763989844578,1.408010921312105e-11,9.515811094643833e-5,1.867039026112745e-10,2.8442703861310117e-5
1.0945037315764066e-16,0.9998788528081706,1.3101736619388777e-11,9.351416322242615e-5,1.728286718354936e-10,2.7632842640408373e-5
1.327365484401868e-16,0.9998733586258278,1.533372006995141e-11,9.714321535176908e-5,2.0448043765844744e-10,2.9497938968616217e-5
1.1339884281028277e-16,0.999877628890341,1.349115119565227e-11,9.436516643576584e-5,1.7829653035632547e-10,2.800575146906818e-5
5.3987742887956926e-15,0.9976316884490255,5.990686733641068e-10,0.0016206471695793564,8.309545798315598e-9,7.476554727742937e-4
6.671351432716407e-17,0.9998702026724833,8.71610202350948e-12,1.061713754596221e-4,1.1405976681279196e-10,2.362582928759998e-5
1.518446781810171e-16,0.9998709104521037,1.7036039360875247e-11,9.809116548617734e-5,2.3384953410474803e-10,3.0998131543915575e-5
7.757717961462516e-17,0.9998891460989568,9.859337193453705e-12,8.607548832292942e-5,1.301423567684338e-10,2.477827268241015e-5
1.2143142194496563e-16,0.9998774236318483,1.4204798862426438e-11,9.377258694380244e-5,1.924125842534854e-10,2.880357460116825e-5
6.825085531826096e-17,0.9998922022721324,8.88593333036246e-12,8.402831475839947e-5,1.1643281674888014e-10,2.376928781129054e-5
6.015706804461825e-17,0.9998952921440643,8.018642309395064e-12,8.190795492582258e-5,1.0425908479968457e-10,2.2799788682612307e-5
1.109539675114854e-8,0.9956557338359573,1.9202188495684645e-4,0.00413949071661997,0.0036729588179999855,6.096033203134121e-4
6.429775710824157e-17,0.9960172548805523,9.04815064611222e-12,0.01008543522451268,4.813797112656453e-10,5.650547323995718e-4
2.041391061843248e-12,0.9955041149632434,1.5649274337184558e-7,0.00447958296819019,2.463314385141806e-6,1.6302068429435455e-5
1.1877711577927204e-16,0.9978611190158446,1.5932526660154223e-11,0.002103564450939555,1.8912057083895273e-10,3.5316328106759785e-5
